,base,clouds,cod,coord,dt,id,main,message,name,rain,sys,visibility,weather,wind
0,stations,{'all': 24},200,"{'lon': 150.8, 'lat': -2.57}",1521672732.0,2094342.0,"{'temp': 85.56, 'pressure': 1016.57, 'humidity': 96, 'temp_min': 85.56, 'temp_max': 85.56, 'sea_level': 1017.68, 'grnd_level': 1016.57}",,Kavieng,,"{'message': 0.0035, 'country': 'PG', 'sunrise': 1521576037, 'sunset': 1521619616}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 13.8, 'deg': 256.502}"
1,stations,{'all': 75},200,"{'lon': -122.03, 'lat': 36.97}",1521671700.0,5393052.0,"{'temp': 67.19, 'pressure': 1011, 'humidity': 68, 'temp_min': 64.4, 'temp_max': 71.6}",,Santa Cruz,,"{'type': 1, 'id': 399, 'message': 0.009, 'country': 'US', 'sunrise': 1521641314, 'sunset': 1521685308}",16093.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 5.97, 'deg': 191.502}"
2,stations,{'all': 75},200,"{'lon': 20.95, 'lat': 64.75}",1521670800.0,602913.0,"{'temp': 32, 'pressure': 996, 'humidity': 82, 'temp_min': 32, 'temp_max': 32}",,Skelleftea,,"{'type': 1, 'id': 5408, 'message': 0.0046, 'country': 'SE', 'sunrise': 1521606626, 'sunset': 1521651448}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 6.93, 'deg': 230}"
3,stations,{'all': 75},200,"{'lon': -68.31, 'lat': -54.81}",1521669600.0,3833367.0,"{'temp': 53.6, 'pressure': 977, 'humidity': 66, 'temp_min': 53.6, 'temp_max': 53.6}",,Ushuaia,,"{'type': 1, 'id': 4754, 'message': 0.0036, 'country': 'AR', 'sunrise': 1521628692, 'sunset': 1521672047}",10000.0,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]","{'speed': 18.16, 'deg': 328.002}"
4,stations,{'all': 12},200,"{'lon': 147.9, 'lat': 70.62}",1521672734.0,2126123.0,"{'temp': -23.62, 'pressure': 1028.17, 'humidity': 71, 'temp_min': -23.62, 'temp_max': -23.62, 'sea_level': 1030.49, 'grnd_level': 1028.17}",,Chokurdakh,,"{'message': 0.0054, 'country': 'RU', 'sunrise': 1521576026, 'sunset': 1521621162}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 4.74, 'deg': 30.0023}"
5,stations,{'all': 0},200,"{'lon': 74.49, 'lat': 15.34}",1521672734.0,1273574.0,"{'temp': 62.65, 'pressure': 958.29, 'humidity': 69, 'temp_min': 62.65, 'temp_max': 62.65, 'sea_level': 1023.27, 'grnd_level': 958.29}",,Vaini,,"{'message': 0.0053, 'country': 'IN', 'sunrise': 1521594301, 'sunset': 1521637988}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 1.72, 'deg': 304.002}"
6,stations,{'all': 0},200,"{'lon': 18.42, 'lat': -33.93}",1521669600.0,3369157.0,"{'temp': 64.4, 'pressure': 1019, 'humidity': 63, 'temp_min': 64.4, 'temp_max': 64.4}",,Cape Town,,"{'type': 1, 'id': 6529, 'message': 0.0036, 'country': 'ZA', 'sunrise': 1521607850, 'sunset': 1521651302}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 17.22, 'deg': 140}"
7,stations,{'all': 56},200,"{'lon': -76.18, 'lat': -10.53}",1521672735.0,3944797.0,"{'temp': 44.34, 'pressure': 646.05, 'humidity': 95, 'temp_min': 44.34, 'temp_max': 44.34, 'sea_level': 1023.43, 'grnd_level': 646.05}",,Yanacancha,,"{'message': 0.0031, 'country': 'PE', 'sunrise': 1521630523, 'sunset': 1521674051}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 2.62, 'deg': 78.0023}"
8,stations,{'all': 0},200,"{'lon': 44.32, 'lat': 15.17}",1521672735.0,70979.0,"{'temp': 39.34, 'pressure': 789.36, 'humidity': 49, 'temp_min': 39.34, 'temp_max': 39.34, 'sea_level': 1025.99, 'grnd_level': 789.36}",,Sayyan,,"{'message': 0.0077, 'country': 'YE', 'sunrise': 1521601539, 'sunset': 1521645229}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 2.62, 'deg': 47.0023}"
9,stations,{'all': 80},200,"{'lon': -134.97, 'lat': -23.12}",1521672736.0,4030556.0,"{'temp': 81.37, 'pressure': 1027.84, 'humidity': 99, 'temp_min': 81.37, 'temp_max': 81.37, 'sea_level': 1027.89, 'grnd_level': 1027.84}",,Rikitea,,"{'message': 0.0182, 'country': 'PF', 'sunrise': 1521644662, 'sunset': 1521688113}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 14.03, 'deg': 54.0023}"
